Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
117,0.0,-0.35150000000000015,-0.7030000000000001,-1.0545,-1.4060000000000001,-1.7575
118,0.0,-0.32999999999999985,-0.6599999999999999,-0.99,-1.3199999999999998,-1.65
119,0.0,-0.5511666666666666,-1.1023333333333332,-1.6534999999999997,-2.2046666666666663,-2.7558333333333334
120,0.0,-0.34350000000000014,-0.687,-1.0305,-1.374,-1.7175
121,0.0,-0.18066666666666675,-0.3613333333333334,-0.542,-0.7226666666666668,-0.9033333333333334
122,0.0,-0.16216666666666668,-0.32433333333333336,-0.48650000000000004,-0.6486666666666667,-0.8108333333333333
123,0.0,-0.7953333333333337,-1.590666666666667,-2.386,-3.181333333333334,-3.976666666666667
124,0.0,-0.27116666666666656,-0.5423333333333333,-0.8135,-1.0846666666666667,-1.3558333333333334
125,0.0,-0.589,-1.178,-1.767,-2.356,-2.945
126,0.0,-0.4883333333333333,-0.9766666666666668,-1.465,-1.9533333333333336,-2.441666666666667
127,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,-0.008833333333333332,-0.017666666666666664,-0.026499999999999996,-0.03533333333333333,-0.04416666666666667
130,0.0,-0.1768333333333334,-0.3536666666666667,-0.5305,-0.7073333333333334,-0.8841666666666667
131,0.0,-0.4048333333333334,-0.8096666666666665,-1.2145,-1.619333333333333,-2.0241666666666664
132,0.0,-0.385,-0.77,-1.155,-1.54,-1.925
133,0.0,-0.042833333333333334,-0.08566666666666667,-0.1285,-0.17133333333333334,-0.21416666666666667
134,0.0,-0.08816666666666667,-0.17633333333333334,-0.2645,-0.3526666666666667,-0.44083333333333335
135,0.0,-0.347,-0.694,-1.041,-1.388,-1.7349999999999999
136,0.0,-1.1561666666666666,-2.312333333333333,-3.4684999999999997,-4.624666666666666,-5.780833333333334
137,0.0,-0.44933333333333314,-0.8986666666666667,-1.348,-1.7973333333333334,-2.246666666666667
138,0.0,-0.013333333333333322,-0.026666666666666637,-0.03999999999999995,-0.053333333333333274,-0.06666666666666658
139,0.0,-0.029833333333333323,-0.05966666666666666,-0.0895,-0.11933333333333332,-0.14916666666666667
