Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
92,0.0,-0.4123333333333332,-0.8246666666666667,-1.237,-1.6493333333333333,-2.061666666666667
93,0.0,-0.24449999999999994,-0.489,-0.7335,-0.978,-1.2225000000000001
94,0.0,-0.3601666666666665,-0.7203333333333333,-1.0805,-1.4406666666666665,-1.8008333333333333
95,0.0,-0.6493333333333333,-1.2986666666666666,-1.948,-2.5973333333333333,-3.2466666666666666
96,0.0,-0.35833333333333317,-0.7166666666666666,-1.075,-1.4333333333333331,-1.7916666666666665
97,0.0,-0.33033333333333337,-0.6606666666666667,-0.9910000000000001,-1.3213333333333335,-1.6516666666666666
98,0.0,-0.23649999999999993,-0.473,-0.7095,-0.946,-1.1825
99,0.0,-0.3276666666666668,-0.6553333333333333,-0.983,-1.3106666666666666,-1.6383333333333332
100,0.0,-0.21366666666666667,-0.42733333333333334,-0.641,-0.8546666666666667,-1.0683333333333334
101,0.0,-0.5863333333333336,-1.1726666666666667,-1.759,-2.3453333333333335,-2.9316666666666666
102,0.0,-0.23633333333333328,-0.4726666666666667,-0.709,-0.9453333333333334,-1.1816666666666666
103,0.0,-0.2633333333333332,-0.5266666666666666,-0.79,-1.0533333333333332,-1.3166666666666667
104,0.0,-0.22116666666666673,-0.44233333333333336,-0.6635,-0.8846666666666667,-1.1058333333333332
105,0.0,-0.23716666666666675,-0.4743333333333334,-0.7115,-0.9486666666666668,-1.1858333333333333
106,0.0,-0.2856666666666665,-0.5713333333333332,-0.857,-1.1426666666666665,-1.4283333333333332
107,0.0,-0.34199999999999986,-0.6839999999999999,-1.026,-1.3679999999999999,-1.71
108,0.0,-0.19466666666666665,-0.3893333333333333,-0.584,-0.7786666666666666,-0.9733333333333333
109,0.0,-0.46833333333333327,-0.9366666666666668,-1.405,-1.8733333333333335,-2.341666666666667
110,0.0,-0.1981666666666666,-0.3963333333333333,-0.5945,-0.7926666666666666,-0.9908333333333333
111,0.0,-0.16499999999999992,-0.32999999999999996,-0.495,-0.6599999999999999,-0.825
112,0.0,-0.8334999999999999,-1.6670000000000003,-2.5005,-3.3340000000000005,-4.1675
113,0.0,-0.7104999999999997,-1.4209999999999998,-2.1315,-2.8419999999999996,-3.5524999999999998
114,0.0,-0.272,-0.544,-0.8160000000000001,-1.088,-1.3599999999999999
115,0.0,-0.34999999999999987,-0.7,-1.05,-1.4,-1.75
116,0.0,-0.5523333333333333,-1.1046666666666667,-1.657,-2.2093333333333334,-2.7616666666666667
117,0.0,-0.31000000000000005,-0.6200000000000001,-0.9300000000000002,-1.2400000000000002,-1.55
118,0.0,-0.37083333333333335,-0.7416666666666667,-1.1125,-1.4833333333333334,-1.8541666666666667
119,0.0,-0.795666666666667,-1.5913333333333335,-2.387,-3.182666666666667,-3.9783333333333335
120,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,-0.004,-0.008,-0.012,-0.016,-0.02
132,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,-0.48016666666666685,-0.9603333333333333,-1.4405,-1.9206666666666665,-2.400833333333333
135,0.0,-0.18033333333333335,-0.3606666666666667,-0.541,-0.7213333333333334,-0.9016666666666667
136,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,-0.00016666666666666674,-0.0003333333333333334,-0.0005,-0.0006666666666666668,-0.0008333333333333334
138,0.0,-0.048666666666666664,-0.09733333333333333,-0.146,-0.19466666666666665,-0.24333333333333332
139,0.0,-0.08616666666666667,-0.17233333333333334,-0.2585,-0.3446666666666667,-0.43083333333333335
140,0.0,-0.09916666666666663,-0.1983333333333333,-0.2975,-0.3966666666666666,-0.4958333333333333
141,0.0,-0.20350000000000001,-0.40700000000000003,-0.6105,-0.8140000000000001,-1.0175
142,0.0,-0.4979999999999998,-0.996,-1.494,-1.992,-2.49
143,0.0,-0.03316666666666665,-0.06633333333333333,-0.0995,-0.13266666666666665,-0.16583333333333333
144,0.0,-0.14283333333333326,-0.2856666666666666,-0.4285,-0.5713333333333332,-0.7141666666666666
145,0.0,-0.03983333333333333,-0.07966666666666666,-0.1195,-0.15933333333333333,-0.19916666666666666
146,0.0,-0.22033333333333327,-0.44066666666666665,-0.661,-0.8813333333333333,-1.1016666666666668
147,0.0,-0.10783333333333334,-0.21566666666666667,-0.3235,-0.43133333333333335,-0.5391666666666667
