Sbswat,Tambol_ID,Tambol,Amphoe_ID,Amphoe,Province_ID,Province,per_sbswat,per_tambol
90,540104,ป่าแดง,5401,เมืองแพร่,54,แพร่,0.2573,0.0718
568,540104,ป่าแดง,5401,เมืองแพร่,54,แพร่,0.1371,0.0529
565,540104,ป่าแดง,5401,เมืองแพร่,54,แพร่,0.0001,0.0001
93,540105,ทุ่งโฮ้ง,5401,เมืองแพร่,54,แพร่,0.1714,0.8377
566,540105,ทุ่งโฮ้ง,5401,เมืองแพร่,54,แพร่,0.0207,0.1423
69,540105,ทุ่งโฮ้ง,5401,เมืองแพร่,54,แพร่,0.0714,0.0199
52,540105,ทุ่งโฮ้ง,5401,เมืองแพร่,54,แพร่,0.0001,0.0001
93,540106,เหมืองหม้อ,5401,เมืองแพร่,54,แพร่,0.0615,0.3726
566,540106,เหมืองหม้อ,5401,เมืองแพร่,54,แพร่,0.0359,0.3057
91,540106,เหมืองหม้อ,5401,เมืองแพร่,54,แพร่,0.2058,0.2037
633,540106,เหมืองหม้อ,5401,เมืองแพร่,54,แพร่,0.1037,0.1179
51,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.8904,0.346
95,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.8714,0.2872
98,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.3705,0.1759
71,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.4122,0.1355
633,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.0645,0.0244
50,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.1929,0.015
70,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.3823,0.0121
97,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.0038,0.0034
72,540107,วังธง,5401,เมืองแพร่,54,แพร่,0.0005,0.0005
66,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.7561,0.3785
53,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.4195,0.2441
52,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.2422,0.2015
93,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.0312,0.1478
99,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.0181,0.0219
96,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.0016,0.004
632,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.007,0.0012
68,540108,แม่หล่าย,5401,เมืองแพร่,54,แพร่,0.0013,0.0009
96,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.6848,0.4611
68,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.8475,0.1638
99,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.3995,0.1335
565,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.0278,0.099
93,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.05,0.0655
104,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.0677,0.0495
66,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.1593,0.0221
53,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.0265,0.0043
59,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.0041,0.0008
103,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0.0002,0.0004
566,540109,ห้วยม้า,5401,เมืองแพร่,54,แพร่,0,0.0001
94,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.7192,0.3415
97,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.3913,0.1676
89,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.6519,0.1231
71,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.5878,0.0929
49,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.6595,0.0908
88,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.5154,0.0886
633,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.3076,0.0559
95,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.1275,0.0202
91,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.1184,0.0188
90,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.0004,0.0003
554,540110,ป่าแมต,5401,เมืองแพร่,54,แพร่,0.0002,0.0002
93,540111,บ้านถิ่น,5401,เมืองแพร่,54,แพร่,0.328,0.6573
566,540111,บ้านถิ่น,5401,เมืองแพร่,54,แพร่,0.1117,0.3145
91,540111,บ้านถิ่น,5401,เมืองแพร่,54,แพร่,0.086,0.0282
566,540112,สวนเขื่อน,5401,เมืองแพร่,54,แพร่,0.6127,0.7679
565,540112,สวนเขื่อน,5401,เมืองแพร่,54,แพร่,0.0516,0.125
90,540112,สวนเขื่อน,5401,เมืองแพร่,54,แพร่,0.1259,0.0966
91,540112,สวนเขื่อน,5401,เมืองแพร่,54,แพร่,0.0484,0.0071
93,540112,สวนเขื่อน,5401,เมืองแพร่,54,แพร่,0.0026,0.0023
567,540112,สวนเขื่อน,5401,เมืองแพร่,54,แพร่,0.0005,0.0012
72,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.66,0.7086
100,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.3979,0.1534
54,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.1596,0.0458
53,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.1462,0.0418
105,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.0272,0.0275
52,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.0474,0.0194
632,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.0336,0.0028
552,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.0001,0.0006
66,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.0007,0.0002
98,540113,วังหงส์,5401,เมืองแพร่,54,แพร่,0.0001,0
99,540114,แม่คำมี,5401,เมืองแพร่,54,แพร่,0.5823,0.6478
53,540114,แม่คำมี,5401,เมืองแพร่,54,แพร่,0.406,0.2175
59,540114,แม่คำมี,5401,เมืองแพร่,54,แพร่,0.113,0.0705
632,540114,แม่คำมี,5401,เมืองแพร่,54,แพร่,0.3107,0.0482
104,540114,แม่คำมี,5401,เมืองแพร่,54,แพร่,0.0066,0.0161
69,540115,ทุ่งกวาว,5401,เมืองแพร่,54,แพร่,0.701,0.4077
633,540115,ทุ่งกวาว,5401,เมืองแพร่,54,แพร่,0.1779,0.3397
566,540115,ทุ่งกวาว,5401,เมืองแพร่,54,แพร่,0.0177,0.2526
98,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0.6181,0.449
72,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0.3014,0.4288
52,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0.1643,0.089
70,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0.6146,0.0298
51,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0.0041,0.0025
53,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0.0018,0.0007
97,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0.0001,0.0001
552,540116,ท่าข้าม,5401,เมืองแพร่,54,แพร่,0,0.0001
52,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0.546,0.4955
93,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0.0336,0.1735
50,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0.8071,0.1609
51,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0.1055,0.105
69,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0.2074,0.0612
633,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0.0037,0.0036
70,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0.0031,0.0003
566,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0,0.0001
95,540117,แม่ยม,5401,เมืองแพร่,54,แพร่,0,0
568,540118,ช่อแฮ,5401,เมืองแพร่,54,แพร่,0.8585,0.7071
567,540118,ช่อแฮ,5401,เมืองแพร่,54,แพร่,0.1158,0.2208
90,540118,ช่อแฮ,5401,เมืองแพร่,54,แพร่,0.0632,0.0376
58,540118,ช่อแฮ,5401,เมืองแพร่,54,แพร่,0.4072,0.0328
84,540118,ช่อแฮ,5401,เมืองแพร่,54,แพร่,0.004,0.0009
569,540118,ช่อแฮ,5401,เมืองแพร่,54,แพร่,0.0007,0.0008
93,540119,ร่องฟอง,5401,เมืองแพร่,54,แพร่,0.0996,0.8439
566,540119,ร่องฟอง,5401,เมืองแพร่,54,แพร่,0.0131,0.1561
90,540120,กาญจนา,5401,เมืองแพร่,54,แพร่,0.135,0.8022
91,540120,กาญจนา,5401,เมืองแพร่,54,แพร่,0.1752,0.1978
597,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.6649,0.3485
65,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.447,0.2409
64,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.3715,0.2292
31,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.35,0.0999
106,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.1011,0.0486
60,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.117,0.0259
109,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.0163,0.0048
549,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.0022,0.0012
35,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.002,0.0006
32,540201,ร้องกวาง,5402,ร้องกวาง,54,แพร่,0.002,0.0004
104,540204,ร้องเข็ม,5402,ร้องกวาง,54,แพร่,0.5009,0.5544
60,540204,ร้องเข็ม,5402,ร้องกวาง,54,แพร่,0.513,0.2929
106,540204,ร้องเข็ม,5402,ร้องกวาง,54,แพร่,0.0739,0.0915
103,540204,ร้องเข็ม,5402,ร้องกวาง,54,แพร่,0.0194,0.0584
59,540204,ร้องเข็ม,5402,ร้องกวาง,54,แพร่,0.0098,0.0028
103,540205,น้ำเลา,5402,ร้องกวาง,54,แพร่,0.6378,0.9259
104,540205,น้ำเลา,5402,ร้องกวาง,54,แพร่,0.127,0.0678
565,540205,น้ำเลา,5402,ร้องกวาง,54,แพร่,0.0016,0.0041
106,540205,น้ำเลา,5402,ร้องกวาง,54,แพร่,0.0021,0.0013
68,540205,น้ำเลา,5402,ร้องกวาง,54,แพร่,0.0062,0.0009
565,540206,บ้านเวียง,5402,ร้องกวาง,54,แพร่,0.9189,0.8639
103,540206,บ้านเวียง,5402,ร้องกวาง,54,แพร่,0.2004,0.1053
96,540206,บ้านเวียง,5402,ร้องกวาง,54,แพร่,0.1318,0.0234
68,540206,บ้านเวียง,5402,ร้องกวาง,54,แพร่,0.145,0.0074
106,540207,ทุ่งศรี,5402,ร้องกวาง,54,แพร่,0.55,0.7006
104,540207,ทุ่งศรี,5402,ร้องกวาง,54,แพร่,0.1124,0.1279
60,540207,ทุ่งศรี,5402,ร้องกวาง,54,แพร่,0.2076,0.1219
597,540207,ทุ่งศรี,5402,ร้องกวาง,54,แพร่,0.0351,0.0488
103,540207,ทุ่งศรี,5402,ร้องกวาง,54,แพร่,0.0003,0.0008
547,540207,ทุ่งศรี,5402,ร้องกวาง,54,แพร่,0,0.0001
64,540208,แม่ยางตาล,5402,ร้องกวาง,54,แพร่,0.2686,0.7461
59,540208,แม่ยางตาล,5402,ร้องกวาง,54,แพร่,0.2495,0.1236
60,540208,แม่ยางตาล,5402,ร้องกวาง,54,แพร่,0.1078,0.1076
65,540208,แม่ยางตาล,5402,ร้องกวาง,54,แพร่,0.0094,0.0227
65,540209,แม่ยางฮ่อ,5402,ร้องกวาง,54,แพร่,0.253,0.5533
64,540209,แม่ยางฮ่อ,5402,ร้องกวาง,54,แพร่,0.1785,0.4466
107,540209,แม่ยางฮ่อ,5402,ร้องกวาง,54,แพร่,0.0001,0.0001
547,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.9987,0.3466
548,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.5428,0.3318
103,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.1417,0.1038
597,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.2858,0.094
106,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.2729,0.0823
31,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.1501,0.0269
546,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.0167,0.0139
595,540210,ไผ่โทน,5402,ร้องกวาง,54,แพร่,0.0004,0.0008
546,540213,ห้วยโรง,5402,ร้องกวาง,54,แพร่,0.9815,0.7449
548,540213,ห้วยโรง,5402,ร้องกวาง,54,แพร่,0.4561,0.2538
595,540213,ห้วยโรง,5402,ร้องกวาง,54,แพร่,0.0005,0.001
547,540213,ห้วยโรง,5402,ร้องกวาง,54,แพร่,0.0009,0.0003
549,540214,แม่ทราย,5402,ร้องกวาง,54,แพร่,0.9952,0.5354
34,540214,แม่ทราย,5402,ร้องกวาง,54,แพร่,0.993,0.247
