OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
41,41,0,0,0,0,0,0,0,0,0,0,0,0,0.03039,0.03222,0.03003,0.03253,0.0344,0.03236,0.03056,0.02986,0.0306,0.02976,0.03123,0.03019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,0,0,0,0,0,0,0,0,0,0,0,0,0.00819,0.00861,0.00807,0.00885,0.00956,0.00879,0.00826,0.00802,0.0082,0.00798,0.00841,0.00813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0.0013,0.00121,0.00133,0.00143,0.00132,0.00124,0.00121,0.00123,0.0012,0.00126,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,0,0,0,0,0,0,0,0,0,0,0,0,0.06685,0.07272,0.06665,0.06972,0.06912,0.06962,0.06695,0.06656,0.06863,0.06649,0.06897,0.06673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.02167,0.02345,0.02156,0.02273,0.02285,0.02268,0.02172,0.02152,0.02216,0.02148,0.02234,0.02161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.01321,0.01234,0.01343,0.01432,0.01336,0.01258,0.01227,0.01256,0.01221,0.01284,0.01241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,0,0,0,0,0,0,0,0,0,0,0,0,0.02832,0.02981,0.02792,0.03051,0.03281,0.03032,0.0285,0.02772,0.02835,0.02762,0.02907,0.0281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0.00116,0.00109,0.00119,0.00128,0.00118,0.00111,0.00108,0.00111,0.00108,0.00113,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,0,0,0,0,0,0,0,0,0,0,0,0,0.04245,0.04563,0.04215,0.04483,0.04586,0.04468,0.0426,0.04201,0.04318,0.04192,0.04372,0.04229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.00681,0.00735,0.00677,0.00714,0.00723,0.00713,0.00682,0.00674,0.00694,0.00675,0.00702,0.00679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,0,0,0,0,0,0,0,0,0,0,0,0,0.01676,0.01802,0.01664,0.01742,0.01782,0.01737,0.01659,0.01636,0.01682,0.01678,0.0175,0.01692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,0,0,0,0,0,0,0,0,0,0,0,0,0.06289,0.06827,0.06265,0.06572,0.06551,0.06561,0.063,0.06254,0.06446,0.06247,0.06487,0.06276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,0,0,0,0,0,0,0,0,0,0,0,0,0.06238,0.06747,0.06207,0.06545,0.06589,0.0653,0.06254,0.06193,0.06377,0.06182,0.0643,0.0622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0,0,0,0.01336,0.01423,0.01322,0.01424,0.01489,0.01417,0.01343,0.01316,0.0135,0.01311,0.01373,0.01328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0,0,0,0,0,0,0,0,0,0,0,0.00395,0.0042,0.00391,0.00423,0.00447,0.00421,0.00398,0.00389,0.00398,0.00387,0.00406,0.00393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0.00747,0.007,0.00766,0.00826,0.00762,0.00715,0.00695,0.00711,0.00692,0.00729,0.00704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,0,0,0,0,0,0,0,0,0,0,0,0,0.1428,0.15178,0.14124,0.15243,0.16029,0.15169,0.14352,0.14046,0.144,0.14009,0.14685,0.14198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,0,0,0,0,0,0,0,0,0,0,0,0,0.00868,0.00922,0.00858,0.00928,0.00979,0.00924,0.00873,0.00854,0.00875,0.00851,0.00892,0.00862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,0,0,0,0,0,0,0,0,0,0,0,0,0.02112,0.02223,0.02082,0.02275,0.02448,0.02261,0.02125,0.02066,0.02113,0.0206,0.02169,0.02097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,0,0,0,0,0,0,0,0,0,0,0,0,0.03175,0.0335,0.03132,0.03412,0.03649,0.03392,0.03193,0.0311,0.03183,0.03102,0.03262,0.03153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,0,0,0,0,0,0,0,0,0,0,0,0.01951,0.02066,0.01927,0.02093,0.02222,0.02082,0.01964,0.01917,0.01963,0.01908,0.02004,0.01937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,0,0,0,0,0,0,0,0,0,0,0,0,0.00247,0.0026,0.00244,0.00266,0.00286,0.00265,0.00249,0.00242,0.00248,0.00241,0.00254,0.00245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.03521,0.03718,0.03475,0.03786,0.04043,0.03764,0.03545,0.03455,0.03536,0.03438,0.03614,0.03494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,0,0,0,0,0,0,0,0,0,0,0,0,0.08447,0.08916,0.08335,0.09086,0.0971,0.09033,0.08505,0.08285,0.08479,0.08246,0.08671,0.08381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,0,0,0,0,0,0,0,0,0,0,0,0,0.0597,0.06317,0.05896,0.06407,0.0681,0.06372,0.06009,0.05863,0.06004,0.05837,0.06131,0.05927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,0,0,0,0,0,0,0,0,0,0,0,0,0.07791,0.08484,0.0777,0.08116,0.08023,0.08106,0.07801,0.07761,0.08004,0.07753,0.08039,0.07778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0,0,0,0,0,0,0,0,0,0,0,0,0.02104,0.02227,0.02078,0.02255,0.02393,0.02243,0.02117,0.02066,0.02116,0.02058,0.02161,0.02089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01058,0.00988,0.01073,0.01139,0.01067,0.01006,0.00982,0.01006,0.00978,0.01027,0.00993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0471,0.04975,0.04649,0.05053,0.05392,0.05024,0.04734,0.04614,0.04723,0.04607,0.04843,0.04681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,0,0,0,0,0,0,0,0,0,0,0,0,0.00113,0.0012,0.00112,0.00119,0.00124,0.00118,0.00112,0.0011,0.00113,0.00112,0.00117,0.00113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
