OID,SUBBASIN,WUPND1,WUPND2,WUPND3,WUPND4,WUPND5,WUPND6,WUPND7,WUPND8,WUPND9,WUPND10,WUPND11,WUPND12,WURCH1,WURCH2,WURCH3,WURCH4,WURCH5,WURCH6,WURCH7,WURCH8,WURCH9,WURCH10,WURCH11,WURCH12,WUSHAL1,WUSHAL2,WUSHAL3,WUSHAL4,WUSHAL5,WUSHAL6,WUSHAL7,WUSHAL8,WUSHAL9,WUSHAL10,WUSHAL11,WUSHAL12,WUDEEP1,WUDEEP2,WUDEEP3,WUDEEP4,WUDEEP5,WUDEEP6,WUDEEP7,WUDEEP8,WUDEEP9,WUDEEP10,WUDEEP11,WUDEEP12
32,32,0,0,0,0,0,0,0,0,0,0,0,0,1.02452,1.11998,1.02263,1.06596,1.04544,1.06411,1.02387,1.02387,1.08617,1.02052,1.0574,1.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.38743,0.42428,0.38705,0.40184,0.39168,0.40146,0.38732,0.38733,0.40594,0.38662,0.40008,0.38665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0,0,0,0,0,0.01958,0.02146,0.01957,0.02029,0.01972,0.02027,0.01958,0.01958,0.02042,0.01956,0.02023,0.01956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.12792,0.13974,0.12742,0.13393,0.13222,0.13391,0.12826,0.12812,0.1328,0.12759,0.13268,0.12801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0.19489,0.2135,0.19458,0.20247,0.19751,0.20249,0.19514,0.19504,0.20135,0.19473,0.20175,0.19502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.50175,0.54685,0.49852,0.52938,0.52833,0.52954,0.5042,0.50321,0.51796,0.50014,0.5222,0.5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,0,0,0,0,0,0,0,0,0,0,0,0,0.19765,0.21321,0.19447,0.21481,0.22366,0.21496,0.19997,0.199,0.20364,0.19613,0.20798,0.19904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0,0,0,0,0,0,0,0,0,0,0,0.11686,0.12603,0.11495,0.12702,0.13236,0.12711,0.11822,0.11764,0.12037,0.11597,0.12301,0.11771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,0,0,0,0,0,0,0,0,0,0,0,0.1009,0.10853,0.09901,0.11022,0.11605,0.11031,0.10211,0.10153,0.10373,0.10011,0.1066,0.10184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,0,0,0,0,0,0,0,0,0,0,0,0,0.22693,0.24735,0.22619,0.23721,0.23497,0.23649,0.22649,0.22649,0.24504,0.22543,0.23406,0.2255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,0,0,0,0,0,0,0,0,0,0,0,0,0.4051,0.44113,0.4036,0.42436,0.42169,0.42289,0.40453,0.40453,0.44041,0.40194,0.41761,0.40208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.38695,0.42261,0.38522,0.40541,0.40092,0.40549,0.38812,0.38759,0.39942,0.38619,0.40194,0.38777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,0,0,0,0,0,0,0,0,0,0,0,0,0.46192,0.50168,0.45743,0.49273,0.49913,0.49295,0.46545,0.46407,0.47673,0.45961,0.48242,0.46372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,0.00215,0.00196,0.00212,0.00215,0.00212,0.002,0.00199,0.00204,0.00197,0.00207,0.00199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.08219,0.08928,0.0814,0.08754,0.08861,0.08758,0.08276,0.08252,0.08478,0.08181,0.08584,0.08253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,0,0,0,0,0,0,0,0,0,0,0,0,0.01536,0.01662,0.01516,0.01653,0.01697,0.01654,0.01551,0.01545,0.01584,0.01526,0.01609,0.01544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,0,0,0,0,0,0,0,0,0,0,0,0,0.03552,0.03856,0.03516,0.0379,0.03845,0.03791,0.03578,0.03567,0.03664,0.03534,0.03712,0.03567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,0,0,0,0,0,0,0,0,0,0,0,0,0.14052,0.1527,0.13923,0.14958,0.15118,0.14965,0.14151,0.14111,0.145,0.13987,0.1467,0.14106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.04602,0.04988,0.04549,0.04929,0.05035,0.04932,0.04639,0.04623,0.04744,0.04578,0.04819,0.04627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,0,0,0,0,0,0,0,0,0,0,0,0,0.19847,0.21492,0.19599,0.21342,0.21888,0.21354,0.20033,0.19957,0.20466,0.19726,0.20798,0.19954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,0,0,0,0,0,0,0,0,0,0,0,0,0.05674,0.06163,0.05646,0.05967,0.05978,0.0594,0.05659,0.0566,0.06263,0.05617,0.05846,0.05619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0582,0.06258,0.05709,0.06375,0.06719,0.0638,0.05897,0.05863,0.05989,0.05769,0.06147,0.05871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,0,0,0,0,0,0,0,0,0,0,0,0,1.21063,1.30611,1.19131,1.30792,1.36158,1.30885,1.22104,1.21513,1.24353,1.20394,1.27629,1.22162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,0,0,0,0,0,0,0,0,0,0,0,0,0.20112,0.21689,0.19783,0.21887,0.22814,0.21903,0.20358,0.20258,0.20727,0.19951,0.21164,0.20252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,0,0,0,0,0,0,0,0,0,0,0,0,0.05989,0.06449,0.05883,0.06552,0.06865,0.06557,0.06072,0.0604,0.06175,0.05934,0.06308,0.0603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,0,0,0,0,0,0,0,0,0,0,0,0,0.07118,0.0771,0.07031,0.07645,0.07831,0.0765,0.07182,0.07155,0.07339,0.07076,0.07457,0.07155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,0,0,0,0,0,0,0,0,0,0,0,0,0.1227,0.13208,0.12049,0.13382,0.14048,0.13393,0.12415,0.12347,0.1262,0.12176,0.1295,0.12378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,0,0,0,0,0,0,0,0,0,0,0,0,0.33201,0.36049,0.32869,0.3543,0.35934,0.35446,0.33453,0.33352,0.34255,0.33036,0.34691,0.3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,0,0,0,0,0,0,0,0,0,0,0,0,0.11399,0.12349,0.11261,0.12254,0.12546,0.12261,0.11508,0.11466,0.11761,0.11328,0.11937,0.11455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,0,0,0,0,0,0,0,0,0,0,0,0.04481,0.04903,0.04472,0.04662,0.04563,0.04659,0.04484,0.04482,0.04671,0.04472,0.04635,0.04478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,0,0,0,0,0,0,0,0,0,0,0,0,0.02413,0.02599,0.02371,0.02632,0.02756,0.02634,0.02443,0.0243,0.02485,0.02393,0.02543,0.02432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.10477,0.11376,0.10373,0.11179,0.11336,0.11184,0.10557,0.10525,0.1081,0.10425,0.10946,0.1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,0,0,0,0,0,0,0,0,0,0,0,0,0.04055,0.0443,0.04044,0.04231,0.04165,0.04225,0.04055,0.04054,0.04278,0.0404,0.04193,0.04045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,0,0,0,0,0,0,0,0,0,0,0,0,0.04039,0.04359,0.03976,0.04354,0.04526,0.04357,0.0407,0.04051,0.04147,0.04019,0.04258,0.04076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,0,0,0,0,0,0,0,0,0,0,0,0,0.08893,0.09552,0.08714,0.09724,0.10298,0.09733,0.08993,0.08939,0.09124,0.08829,0.09421,0.08992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0,0,0,0,0,0,0,0,0,0,0,0,1.97188,2.1573,1.96703,2.0546,2.01435,2.05398,1.97485,1.97362,2.04928,1.96803,2.04159,1.97179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.09935,0.10866,0.09904,0.10367,0.10186,0.10368,0.09956,0.09947,0.10259,0.09921,0.10303,0.09949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,69,0,0,0,0,0,0,0,0,0,0,0,0,0.01031,0.01111,0.01014,0.01127,0.0118,0.01128,0.01046,0.0104,0.01064,0.01022,0.01086,0.01039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,0,0,0,0,0,0,0,0,0,0,0,0,0.02279,0.02474,0.02256,0.02434,0.02472,0.02436,0.02297,0.0229,0.02351,0.02267,0.02382,0.02289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,71,0,0,0,0,0,0,0,0,0,0,0,0,0.11807,0.12657,0.11667,0.12755,0.13334,0.12634,0.11804,0.11799,0.14033,0.11528,0.12127,0.11554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,0,0,0,0,0,0,0,0,0,0,0,0,0.14792,0.16046,0.14631,0.15826,0.16115,0.15834,0.14913,0.14863,0.15258,0.14714,0.15473,0.14861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,73,0,0,0,0,0,0,0,0,0,0,0,0,0.11952,0.12974,0.11889,0.1258,0.12635,0.12519,0.11913,0.11913,0.13245,0.11825,0.12314,0.11831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
