Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
23,0.0,-0.009336160538779744,-0.019232889523647,-0.030483408675493272,-0.04465738653082079,-0.06653486613586246
24,0.0,-1.0476882890755335,-2.1582826297074504,-3.4207970340441536,-5.0113770746251065,-7.466431171165608
25,0.0,-1.0434462550889698,-2.149543858487714,-3.4069464093584894,-4.991086276215206,-7.436199989700014
26,0.0,-0.015005522848919716,-0.03091201806128692,-0.04899438944875486,-0.07177548320616768,-0.10693801267710319
27,0.0,-0.10996079998414379,-0.22652394517450097,-0.3590319586169991,-0.5259723124653983,-0.7836440983151303
28,0.0,-0.10791736239862121,-0.22231437645858418,-0.3523599500580621,-0.5161979965965523,-0.7690813831984614
29,0.0,-0.013437522697272507,-0.027681870768464758,-0.04387472711782577,-0.06427531345633954,-0.09576353899945853
30,0.0,-0.012236063295984687,-0.025206813078943072,-0.039951853492812356,-0.058528407470572134,-0.08720124617037583
31,0.0,-0.009003724836252124,-0.018548057775748913,-0.02939797603577148,-0.043067256455105396,-0.06416573753373717
32,0.0,-0.0063191721722577025,-0.013017764611599302,-0.0206326687525998,-0.03022631338430289,-0.045034066501344304
33,0.0,-0.01673991901241988,-0.034484948246482273,-0.054657349809984185,-0.08007157018424386,-0.1192983203309516
34,0.0,-0.008267853996152513,-0.017032132410870926,-0.026995291178547834,-0.03954738676064282,-0.05892149739498398
35,0.0,-0.012469045681414773,-0.025686766745262338,-0.04071256205601202,-0.05964282537264303,-0.08886161305912159
36,0.0,-0.010192435397602003,-0.020996852310404886,-0.03327922354517211,-0.04875318128372973,-0.07263717477447225
37,0.0,-0.003913486161264499,-0.008061948665008619,-0.012777886316777644,-0.018719265104823173,-0.02788976011956156
38,0.0,-0.008992864646211723,-0.018525685320349795,-0.02936251653291482,-0.04301530922236257,-0.0640883415541429
39,0.0,-0.006312294648036347,-0.013003596617915378,-0.020610213013900324,-0.03019341632172,-0.04498505329602148
40,0.0,-0.02590229103276524,-0.053359825998411846,-0.0845733232524886,-0.12389767912401356,-0.18459466922389045
41,0.0,-0.008754196284743967,-0.018034018300504485,-0.02858324274361868,-0.0418736937556542,-0.062387453119848876
42,0.0,-0.026196503709687607,-0.05396591668078607,-0.08553395425608824,-0.12530497810746774,-0.1866913984942573
43,0.0,-0.005530025129970611,-0.011392087994409921,-0.018056032276055407,-0.026451609173649422,-0.03941014941016004
44,0.0,-1.461119199809883,-3.009967966392308,-4.7706863551037255,-6.98892918587728,-10.412778354022958
45,0.0,-1.4296912213619943,-2.9452249882773662,-4.668071162606532,-6.838600646045519,-10.188804448447385
46,0.0,-1.4160769604951475,-2.9171790293298354,-4.623619369377931,-6.77347994601719,-10.091781371289294
47,0.0,-1.3559112650073757,-2.7932351265206252,-4.427172931232305,-6.485691115894496,-9.663005914973803
48,0.0,-1.3041192085525886,-2.6865412778169904,-4.258067181979428,-6.237955671037865,-9.293905841254345
49,0.0,-1.2493096843967169,-2.5736313167516336,-4.079109127732951,-5.975786860247574,-8.903301551885743
50,0.0,-1.2313807112747173,-2.5366968662464666,-4.020569408697519,-5.890027721950401,-8.775529345991174
51,0.0,-1.2294939239636247,-2.532810003787522,-4.014408877454631,-5.881002706806014,-8.762083011103407
52,0.0,-1.2219533496496475,-2.5172760985892153,-3.989788220225558,-5.844934095902749,-8.70834452829947
53,0.0,-1.164466669904983,-2.398851082650606,-3.802089010815557,-5.569959724257409,-8.29866128372382
54,0.0,-1.075939342135876,-2.216481005814989,-3.5130392777774677,-5.146509519186021,-7.667764473625372
55,0.0,-1.0754870110553658,-2.215549184466863,-3.511562375883317,-5.144345897018392,-7.664540901390744
56,0.0,-1.0710130589396785,-2.2063326519942597,-3.496954517527562,-5.122945771332813,-7.632656937540823
57,0.0,-0.06684172087678439,-0.13769680029106146,-0.2182442649306224,-0.31972206917190993,-0.4763526647120835
