Sbswat,critical_0_level,critical_10_level,critical_20_level,critical_30_level,critical_40_level,critical_50_level
145,0.0,-0.009166666666666663,-0.018333333333333333,-0.0275,-0.03666666666666667,-0.04583333333333334
146,0.0,-0.07366666666666666,-0.14733333333333332,-0.22099999999999997,-0.29466666666666663,-0.36833333333333335
147,0.0,-0.03166666666666665,-0.06333333333333332,-0.095,-0.12666666666666665,-0.15833333333333333
148,0.0,-0.03933333333333333,-0.07866666666666666,-0.118,-0.15733333333333333,-0.19666666666666666
149,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,-0.006499999999999999,-0.013000000000000001,-0.0195,-0.026000000000000002,-0.0325
151,0.0,-0.009333333333333332,-0.018666666666666665,-0.027999999999999997,-0.03733333333333333,-0.04666666666666667
152,0.0,-0.052666666666666695,-0.10533333333333333,-0.158,-0.21066666666666667,-0.2633333333333333
153,0.0,-0.049000000000000016,-0.098,-0.147,-0.196,-0.245
154,0.0,-0.018000000000000002,-0.036000000000000004,-0.054000000000000006,-0.07200000000000001,-0.09
155,0.0,-0.06083333333333335,-0.12166666666666667,-0.1825,-0.24333333333333335,-0.30416666666666664
156,0.0,-0.22066666666666657,-0.44133333333333336,-0.662,-0.8826666666666667,-1.1033333333333335
157,0.0,-0.16549999999999998,-0.33099999999999996,-0.49649999999999994,-0.6619999999999999,-0.8275
158,0.0,-0.05399999999999999,-0.10800000000000001,-0.162,-0.21600000000000003,-0.27
159,0.0,-0.08566666666666667,-0.17133333333333334,-0.257,-0.3426666666666667,-0.42833333333333334
160,0.0,-0.053833333333333344,-0.10766666666666666,-0.1615,-0.21533333333333332,-0.26916666666666667
161,0.0,-0.07800000000000001,-0.15600000000000003,-0.23400000000000004,-0.31200000000000006,-0.39
162,0.0,-0.12249999999999994,-0.245,-0.3675,-0.49,-0.6125
163,0.0,-0.08666666666666667,-0.17333333333333334,-0.26,-0.3466666666666667,-0.43333333333333335
164,0.0,-0.054333333333333345,-0.10866666666666666,-0.163,-0.21733333333333332,-0.27166666666666667
165,0.0,-0.05833333333333335,-0.11666666666666667,-0.175,-0.23333333333333334,-0.29166666666666663
166,0.0,-0.21150000000000002,-0.42299999999999993,-0.6345,-0.8459999999999999,-1.0574999999999999
167,0.0,-0.0656666666666667,-0.13133333333333336,-0.197,-0.2626666666666667,-0.32833333333333337
168,0.0,-0.09149999999999997,-0.183,-0.2745,-0.366,-0.4575
169,0.0,-0.06916666666666665,-0.1383333333333333,-0.20749999999999996,-0.2766666666666666,-0.3458333333333333
170,0.0,-0.05449999999999999,-0.10900000000000001,-0.1635,-0.21800000000000003,-0.2725
171,0.0,-0.09916666666666663,-0.1983333333333333,-0.2975,-0.3966666666666666,-0.4958333333333333
172,0.0,-0.11066666666666669,-0.22133333333333333,-0.332,-0.44266666666666665,-0.5533333333333333
173,0.0,-0.08283333333333337,-0.16566666666666668,-0.2485,-0.33133333333333337,-0.4141666666666667
174,0.0,-0.08199999999999996,-0.16399999999999998,-0.246,-0.32799999999999996,-0.41
175,0.0,-0.07666666666666666,-0.15333333333333332,-0.22999999999999998,-0.30666666666666664,-0.38333333333333336
176,0.0,-0.11199999999999999,-0.22400000000000003,-0.336,-0.44800000000000006,-0.56
177,0.0,-0.14683333333333326,-0.29366666666666663,-0.4405,-0.5873333333333333,-0.7341666666666666
178,0.0,-0.08166666666666667,-0.16333333333333333,-0.245,-0.32666666666666666,-0.4083333333333333
179,0.0,-0.09399999999999997,-0.188,-0.28200000000000003,-0.376,-0.47000000000000003
180,0.0,-0.10066666666666668,-0.2013333333333333,-0.302,-0.4026666666666666,-0.5033333333333333
181,0.0,-0.10950000000000004,-0.21900000000000003,-0.3285,-0.43800000000000006,-0.5475
182,0.0,-0.13216666666666665,-0.2643333333333333,-0.39649999999999996,-0.5286666666666666,-0.6608333333333334
183,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,-0.062,-0.124,-0.186,-0.248,-0.31
187,0.0,-0.10350000000000004,-0.20700000000000002,-0.3105,-0.41400000000000003,-0.5175
